repo_name,depth,timelag,complexity,nloc
https://github.com/dlmanning/gulp-sass,10,165,1.0,101.0
https://github.com/nodemailer/nodemailer,10,101,30.2,10029.0
https://github.com/ezolenko/rollup-plugin-typescript2,10,41,3.2,23315.0
https://github.com/sindresorhus/object-assign,11,392,1.8,124.0
https://github.com/geddski/grunt-release,11,732,2.9,427.0
https://github.com/gruntjs/grunt-contrib-cssmin,12,880,2.0,164.0
https://github.com/postcss/postcss-url,7,43,4.9,463.0
https://github.com/vojtajina/grunt-bump,11,133,3.6,241.0
https://github.com/jhnns/rewire,6,229,2.5,299.0
https://github.com/webpack-contrib/exports-loader,11,670,8.0,78.0
https://github.com/hapijs/lab,5,237,5.1,2850.0
https://github.com/gulpjs/vinyl,10,158,2.6,292.0
https://github.com/egoist/rollup-plugin-postcss,10,3,2.7,545.0
https://github.com/epoberezkin/ajv,8,36,1.6,8536.0
https://github.com/cloudhead/vows,9,240,1.9,550.0
https://github.com/jmreidy/grunt-browserify,9,271,4.1,45282.0
https://github.com/estools/escodegen,10,253,5.3,4666.0
https://github.com/tkellen/js-matchdep,11,236,2.2,63.0
https://github.com/d3/d3,6,32,1.2,89.0
https://github.com/alexmingoia/koa-router,10,387,2.8,415.0
https://github.com/nodejs/readable-stream,9,39,3.0,2648.0
https://github.com/zertosh/invariant,6,397,3.0,55.0
https://github.com/ethereum/web3.js,12,12,4.0,22891.0
https://github.com/reactjs/react-router-redux,11,6,2.5,513.0
https://github.com/trentm/node-bunyan,10,645,3.2,2033.0
https://github.com/75lb/command-line-args,5,418,2.8,631.0
https://github.com/BerkeleyTrue/warning,11,157,2.6,89.0
https://github.com/tleunen/babel-plugin-module-resolver,8,3,2.4,357.0
https://github.com/jergason/recursive-readdir,3,21,2.5,82.0
https://github.com/jaredhanson/passport,3,350,3.7,499.0
https://github.com/hubotio/hubot,11,143,2.0,1543.0
https://github.com/johnpapa/lite-server,8,927,3.8,77.0
https://github.com/isaacs/ini,9,940,4.7,164.0
https://github.com/sindresorhus/gulp-size,10,347,3.0,68.0
https://github.com/lerna/lerna,10,9,2.5,20860.0
https://github.com/firebase/firebase-js-sdk,11,17,1.8,16105.0
https://github.com/vuejs/vue-html-loader,7,255,2.9,120.0
https://github.com/restify/node-restify,9,12,2.6,5663.0
https://github.com/markdown-it/markdown-it,7,608,4.9,8567.0
https://github.com/tgriesser/knex,8,264,2.3,11624.0
https://github.com/babel/grunt-babel,11,7,2.0,87.0
https://github.com/luin/ioredis,8,51,3.1,1077.0
https://github.com/rizowski/eslint-watch,8,3,3.9,410.0
https://github.com/kpdecker/jsdiff,10,61,4.5,1341.0
https://github.com/markdalgleish/gulp-coveralls,10,1847,1.6,51.0
https://github.com/koajs/bodyparser,4,322,3.5,89.0
https://github.com/TheLarkInn/angular2-template-loader,5,324,2.0,38.0
https://github.com/eddyerburgh/vue-jest,12,2,4.7,645.0
https://github.com/sindresorhus/gulp-changed,9,20,3.5,65.0
https://github.com/segmentio/metalsmith,8,74,2.0,277.0
https://github.com/eggjs/egg-bin,9,7,2.0,432.0
https://github.com/gruntjs/grunt-contrib-qunit,9,71,1.9,509.0
https://github.com/yaymukund/grunt-simple-mocha,7,1139,1.0,63.0
https://github.com/thlorenz/browserify-shim,7,158,2.0,433.0
